SVAMITVA Property Card ID,Linked Land Record Parcel ID,Survey / Gat / Property No.,State,District,Tehsil / Taluka,Village,Owner Name,Father / Spouse Name,Owner Type,Total Area (sq m),Land / Property Type,Property Card Status,Property Card Prepared Date,Distribution Date,Drone Survey Status,Drone Survey Date,Ortho Image Status,Vector Data Status,DEM Data Status,Parcel Digitisation Status,Cadastral / Parcel Geometry WKT,Record Source,Record Date / Last Updated,Verification Status,Survey Completed,Ground Truthing Status,CORS / Control Point Status,Property Card Prepared,Objection Received,Objection Date,Objection Disposed,Objection Disposal Date,Card Ready for Distribution,Property Card Distributed,Latitude,Longitude,Notified Village,Drone Flying Completed,Data Processing Completed,Data Processing Status,Ortho Data Received,Vector Data Received,Property Cards Prepared,Property Cards Distributed,Feature Extraction Status,Ground Verification Date
SVPC-MH-0000011,MH-DEMO-00011,SV-01-01-0011,Maharashtra,Sindhudurg,Kankavli,Demo Village 01,Vikas Patil,Shivam Kulkarni,Individual,56.9,Other Abadi Property,Digitisation Completed,2024-02-14,,Pending,,Processing,Processing,Processing,Digitised,"POLYGON((18.639610 73.439610,18.640390 73.439610,18.640390 73.440390,18.639610 73.440390,18.639610 73.439610))",Synthetic SVAMITVA Demo Dataset,2026-01-12,Synthetic - Not Government Verified,No,Completed,Available,Yes,No,,Not Applicable,,Yes,Yes,73.43961,18.63961,Yes,No,No,In Progress,No,No,Yes,Yes,Pending,2024-02-10
SVPC-MH-0000012,MH-DEMO-00012,SV-01-01-0012,Maharashtra,Sindhudurg,Kankavli,Demo Village 02,Aniket Deshpande,Aditi Verma,Individual,59.8,Residential Abadi,Prepared,2024-02-18,,Completed,2024-02-06,Received,Received,Received,Under Processing,"POLYGON((18.639570 73.439570,18.640430 73.439570,18.640430 73.440430,18.639570 73.440430,18.639570 73.439570))",Synthetic SVAMITVA Demo Dataset,2026-01-13,Synthetic - Not Government Verified,Yes,Completed,Pending,Yes,No,,Not Applicable,,Yes,Yes,73.43957,18.63957,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Yes,Completed,2024-02-13
SVPC-MH-0000013,MH-DEMO-00013,SV-01-01-0013,Maharashtra,Sindhudurg,Kankavli,Demo Village 03,Kiran Mhatre,Meena Wagh,Individual,62.7,Mixed Residential,Distributed,2024-02-22,,Completed,2024-02-09,Received,Received,Received,Digitised,"POLYGON((18.639530 73.439530,18.640470 73.439530,18.640470 73.440470,18.639530 73.440470,18.639530 73.439530))",Synthetic SVAMITVA Demo Dataset,2026-01-14,Synthetic - Not Government Verified,Yes,In Progress,Available,Yes,Yes,2024-02-21,Yes,2024-03-05,Yes,Yes,73.43953,18.63953,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Yes,Completed,
SVPC-MH-0000014,MH-DEMO-00014,SV-01-01-0014,Maharashtra,Sindhudurg,Kankavli,Demo Village 04,Pooja Pawar,Seema Patil,Individual,65.6,Institutional,Under Verification,2024-02-26,,Completed,2024-02-12,Received,Received,Available,Digitised,"POLYGON((18.639490 73.439490,18.640510 73.439490,18.640510 73.440510,18.639490 73.440510,18.639490 73.439490))",Synthetic SVAMITVA Demo Dataset,2026-01-15,Synthetic - Not Government Verified,Yes,Pending,Available,No,No,,Not Applicable,,No,Yes,73.43949,18.63949,Yes,Yes,Yes,Completed,Yes,Yes,No,Yes,Completed,
SVPC-MH-0000015,MH-DEMO-00015,SV-01-01-0015,Maharashtra,Sindhudurg,Kankavli,Demo Village 05,Sachin Mane,Aarav Kamble,Individual,68.5,Commercial,Digitisation Completed,2024-03-01,,Pending,,Processing,Processing,Processing,Digitised,"POLYGON((18.639650 73.439650,18.640350 73.439650,18.640350 73.440350,18.639650 73.440350,18.639650 73.439650))",Synthetic SVAMITVA Demo Dataset,2026-01-16,Synthetic - Not Government Verified,No,Completed,Available,Yes,No,,Not Applicable,,Yes,No,73.43965,18.63965,Yes,No,No,In Progress,No,No,Yes,No,Pending,2024-02-22
SVPC-MH-0000016,MH-DEMO-00016,SV-01-01-0016,Maharashtra,Sindhudurg,Kankavli,Demo Village 06,Suresh Tiwari,Manish Gaikwad,Individual,71.4,Open Plot,Prepared,2024-03-05,,Completed,2024-02-18,Received,Received,Received,Digitised,"POLYGON((18.639610 73.439610,18.640390 73.439610,18.640390 73.440390,18.639610 73.440390,18.639610 73.439610))",Synthetic SVAMITVA Demo Dataset,2026-01-17,Synthetic - Not Government Verified,Yes,Completed,Available,Yes,No,,Not Applicable,,Yes,Yes,73.43961,18.63961,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Yes,Completed,2024-02-25
SVPC-MH-0000017,MH-DEMO-00017,SV-01-01-0017,Maharashtra,Sindhudurg,Kankavli,Demo Village 07,Vivek Chavan,Sanjay Borkar,Individual,74.3,Other Abadi Property,Distributed,2024-03-09,,Completed,2024-02-21,Received,Received,Received,Digitised,"POLYGON((18.639570 73.439570,18.640430 73.439570,18.640430 73.440430,18.639570 73.440430,18.639570 73.439570))",Synthetic SVAMITVA Demo Dataset,2026-01-18,Synthetic - Not Government Verified,Yes,Completed,Available,Yes,No,,Not Applicable,,Yes,Yes,73.43957,18.63957,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Yes,Completed,2024-02-28
SVPC-MH-0000018,MH-DEMO-00018,SV-01-01-0018,Maharashtra,Sindhudurg,Kankavli,Demo Village 08,Arjun Kamble,Vivek Kadam,Individual,77.2,Residential Abadi,Under Verification,2024-03-13,,Completed,2024-02-24,Received,Received,Available,Under Processing,"POLYGON((18.639530 73.439530,18.640470 73.439530,18.640470 73.440470,18.639530 73.440470,18.639530 73.439530))",Synthetic SVAMITVA Demo Dataset,2026-01-19,Synthetic - Not Government Verified,Yes,In Progress,Pending,No,No,,Not Applicable,,No,Yes,73.43953,18.63953,Yes,Yes,Yes,Completed,Yes,Yes,No,Yes,Completed,
SVPC-MH-0000019,MH-DEMO-00019,SV-01-01-0019,Maharashtra,Sindhudurg,Kankavli,Demo Village 09,Manish Kharat,Mahesh Tiwari,Individual,80.1,Mixed Residential,Digitisation Completed,2024-03-17,,Pending,,Processing,Processing,Processing,Digitised,"POLYGON((18.639490 73.439490,18.640510 73.439490,18.640510 73.440510,18.639490 73.440510,18.639490 73.439490))",Synthetic SVAMITVA Demo Dataset,2026-01-20,Synthetic - Not Government Verified,No,Pending,Available,Yes,No,,Not Applicable,,Yes,Yes,73.43949,18.63949,Yes,No,No,In Progress,No,No,Yes,Yes,Pending,
SVPC-MH-0000020,MH-DEMO-00020,SV-01-01-0020,Maharashtra,Sindhudurg,Kankavli,Demo Village 10,Priya Kulkarni,Sachin Thakur,Individual,83.0,Institutional,Prepared,2024-03-21,,Completed,2024-03-01,Received,Received,Received,Digitised,"POLYGON((18.639650 73.439650,18.640350 73.439650,18.640350 73.440350,18.639650 73.440350,18.639650 73.439650))",Synthetic SVAMITVA Demo Dataset,2026-01-21,Synthetic - Not Government Verified,Yes,Completed,Available,Yes,No,,Not Applicable,,Yes,No,73.43965,18.63965,Yes,Yes,Yes,Completed,Yes,Yes,Yes,No,Completed,2024-03-08
SVPC-MH-0000021,MH-DEMO-00021,SV-01-01-0021,Maharashtra,Sindhudurg,Kankavli,Demo Village 01,Seema Kale,Vinod Deshmukh,Individual,85.9,Commercial,Distributed,2024-03-25,,Completed,2024-03-04,Received,Received,Received,Digitised,"POLYGON((18.639610 73.439610,18.640390 73.439610,18.640390 73.440390,18.639610 73.440390,18.639610 73.439610))",Synthetic SVAMITVA Demo Dataset,2026-01-22,Synthetic - Not Government Verified,Yes,Completed,Available,Yes,No,,Not Applicable,,No,Yes,73.43961,18.63961,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Yes,Completed,2024-03-11
SVPC-MH-0000022,MH-DEMO-00022,SV-01-01-0022,Maharashtra,Sindhudurg,Kankavli,Demo Village 02,Tanmay Jadhav,Kiran Gawande,Individual,88.8,Open Plot,Under Verification,2024-03-29,,Completed,2024-03-07,Received,Received,Available,Digitised,"POLYGON((18.639570 73.439570,18.640430 73.439570,18.640430 73.440430,18.639570 73.440430,18.639570 73.439570))",Synthetic SVAMITVA Demo Dataset,2026-01-23,Synthetic - Not Government Verified,Yes,Completed,Available,No,No,,Not Applicable,,No,Yes,73.43957,18.63957,Yes,Yes,Yes,Completed,Yes,Yes,No,Yes,Completed,2024-03-14
SVPC-MH-0000023,MH-DEMO-00023,SV-01-01-0023,Maharashtra,Sindhudurg,Kankavli,Demo Village 03,Aditi Thakur,Rohit Pawar,Individual,26.7,Other Abadi Property,Digitisation Completed,2024-04-02,,Pending,,Processing,Processing,Processing,Digitised,"POLYGON((18.639530 73.439530,18.640470 73.439530,18.640470 73.440470,18.639530 73.440470,18.639530 73.439530))",Synthetic SVAMITVA Demo Dataset,2026-01-24,Synthetic - Not Government Verified,No,In Progress,Available,Yes,No,,Not Applicable,,Yes,Yes,73.43953,18.63953,Yes,No,No,In Progress,No,No,Yes,Yes,Pending,
SVPC-MH-0000024,MH-DEMO-00024,SV-01-01-0024,Maharashtra,Sindhudurg,Kankavli,Demo Village 04,Deepak Salve,Vikas Kale,Individual,29.6,Residential Abadi,Prepared,2024-04-06,,Completed,2024-03-13,Received,Received,Received,Under Processing,"POLYGON((18.639490 73.439490,18.640510 73.439490,18.640510 73.440510,18.639490 73.440510,18.639490 73.439490))",Synthetic SVAMITVA Demo Dataset,2026-01-25,Synthetic - Not Government Verified,Yes,Pending,Pending,Yes,No,,Not Applicable,,Yes,Yes,73.43949,18.63949,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Yes,Completed,
SVPC-MH-0000025,MH-DEMO-00025,SV-01-01-0025,Maharashtra,Sindhudurg,Kankavli,Demo Village 05,Mohan Gaikwad,Gaurav Bhosale,Individual,32.5,Mixed Residential,Distributed,2024-04-10,,Completed,2024-03-16,Received,Received,Received,Digitised,"POLYGON((18.639650 73.439650,18.640350 73.439650,18.640350 73.440350,18.639650 73.440350,18.639650 73.439650))",Synthetic SVAMITVA Demo Dataset,2026-01-26,Synthetic - Not Government Verified,Yes,Completed,Available,Yes,No,,Not Applicable,,Yes,No,73.43965,18.63965,Yes,Yes,Yes,Completed,Yes,Yes,Yes,No,Completed,2024-03-23
SVPC-MH-0000026,MH-DEMO-00026,SV-01-01-0026,Maharashtra,Sindhudurg,Kankavli,Demo Village 06,Rajesh Sawant,Ramesh Yadav,Individual,35.4,Institutional,Under Verification,2024-04-14,,Completed,2024-03-19,Received,Received,Available,Digitised,"POLYGON((18.639610 73.439610,18.640390 73.439610,18.640390 73.440390,18.639610 73.440390,18.639610 73.439610))",Synthetic SVAMITVA Demo Dataset,2026-01-27,Synthetic - Not Government Verified,Yes,Completed,Available,No,Yes,2024-03-31,Yes,2024-04-13,No,Yes,73.43961,18.63961,Yes,Yes,Yes,Completed,Yes,Yes,No,Yes,Completed,2024-03-26
SVPC-MH-0000027,MH-DEMO-00027,SV-01-01-0027,Maharashtra,Sindhudurg,Kankavli,Demo Village 07,Sneha Verma,Vijay Deshpande,Individual,38.3,Commercial,Digitisation Completed,2024-04-18,,Pending,,Processing,Processing,Processing,Digitised,"POLYGON((18.639570 73.439570,18.640430 73.439570,18.640430 73.440430,18.639570 73.440430,18.639570 73.439570))",Synthetic SVAMITVA Demo Dataset,2026-01-28,Synthetic - Not Government Verified,No,Completed,Available,Yes,No,,Not Applicable,,Yes,Yes,73.43957,18.63957,Yes,No,No,In Progress,No,No,Yes,Yes,Pending,2024-03-29
SVPC-MH-0000028,MH-DEMO-00028,SV-01-01-0028,Maharashtra,Sindhudurg,Kankavli,Demo Village 08,Vijay Bhosale,Dhananjay Kharat,Individual,41.2,Open Plot,Prepared,2024-04-22,,Completed,2024-03-25,Received,Received,Received,Digitised,"POLYGON((18.639530 73.439530,18.640470 73.439530,18.640470 73.440470,18.639530 73.440470,18.639530 73.439530))",Synthetic SVAMITVA Demo Dataset,2026-01-29,Synthetic - Not Government Verified,Yes,In Progress,Available,Yes,No,,Not Applicable,,No,Yes,73.43953,18.63953,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Yes,Completed,
SVPC-MH-0000029,MH-DEMO-00029,SV-01-01-0029,Maharashtra,Sindhudurg,Kankavli,Demo Village 09,Amit Dhole,Rajesh Sawant,Individual,44.1,Other Abadi Property,Distributed,2024-04-26,,Completed,2024-03-28,Received,Received,Received,Digitised,"POLYGON((18.639490 73.439490,18.640510 73.439490,18.640510 73.440510,18.639490 73.440510,18.639490 73.439490))",Synthetic SVAMITVA Demo Dataset,2026-01-30,Synthetic - Not Government Verified,Yes,Pending,Available,Yes,No,,Not Applicable,,Yes,Yes,73.43949,18.63949,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Yes,Completed,
SVPC-MH-0000030,MH-DEMO-00030,SV-01-01-0030,Maharashtra,Sindhudurg,Kankavli,Demo Village 10,Gaurav Deshmukh,Vaishnavi Shinde,Individual,47.0,Residential Abadi,Under Verification,2024-04-30,,Completed,2024-03-31,Received,Received,Available,Under Processing,"POLYGON((18.639650 73.439650,18.640350 73.439650,18.640350 73.440350,18.639650 73.440350,18.639650 73.439650))",Synthetic SVAMITVA Demo Dataset,2026-01-31,Synthetic - Not Government Verified,Yes,Completed,Pending,No,No,,Not Applicable,,No,No,73.43965,18.63965,Yes,Yes,Yes,Completed,Yes,Yes,No,No,Completed,2024-04-07
SVPC-MH-0000031,MH-DEMO-00031,SV-01-01-0031,Maharashtra,Sindhudurg,Kankavli,Demo Village 01,Nikhil Joshi,Deepak Ingale,Individual,49.9,Mixed Residential,Digitisation Completed,2024-05-04,,Pending,,Processing,Processing,Processing,Digitised,"POLYGON((18.639610 73.439610,18.640390 73.439610,18.640390 73.440390,18.639610 73.440390,18.639610 73.439610))",Synthetic SVAMITVA Demo Dataset,2026-02-01,Synthetic - Not Government Verified,No,Completed,Available,Yes,No,,Not Applicable,,Yes,Yes,73.43961,18.63961,Yes,No,No,In Progress,No,No,Yes,Yes,Pending,2024-04-10
SVPC-MH-0000032,MH-DEMO-00032,SV-01-01-0032,Maharashtra,Sindhudurg,Kankavli,Demo Village 02,Rohit Borkar,Rahul Chavan,Individual,52.8,Institutional,Prepared,2024-05-08,,Completed,2024-04-06,Received,Received,Received,Digitised,"POLYGON((18.639570 73.439570,18.640430 73.439570,18.640430 73.440430,18.639570 73.440430,18.639570 73.439570))",Synthetic SVAMITVA Demo Dataset,2026-02-02,Synthetic - Not Government Verified,Yes,Completed,Available,Yes,No,,Not Applicable,,Yes,Yes,73.43957,18.63957,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Yes,Completed,2024-04-13
SVPC-MH-0000033,MH-DEMO-00033,SV-01-01-0033,Maharashtra,Sindhudurg,Kankavli,Demo Village 03,Sunita Shinde,Tanmay Salve,Individual,55.7,Commercial,Distributed,2024-05-12,,Completed,2024-04-09,Received,Received,Received,Digitised,"POLYGON((18.639530 73.439530,18.640470 73.439530,18.640470 73.440470,18.639530 73.440470,18.639530 73.439530))",Synthetic SVAMITVA Demo Dataset,2026-02-03,Synthetic - Not Government Verified,Yes,In Progress,Available,Yes,No,,Not Applicable,,Yes,Yes,73.43953,18.63953,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Yes,Completed,
SVPC-MH-0000034,MH-DEMO-00034,SV-01-01-0034,Maharashtra,Sindhudurg,Kankavli,Demo Village 04,Vinod Wagh,Ashok Joshi,Individual,58.6,Open Plot,Under Verification,2024-05-16,,Completed,2024-04-12,Received,Received,Available,Digitised,"POLYGON((18.639490 73.439490,18.640510 73.439490,18.640510 73.440510,18.639490 73.440510,18.639490 73.439490))",Synthetic SVAMITVA Demo Dataset,2026-02-04,Synthetic - Not Government Verified,Yes,Pending,Available,No,No,,Not Applicable,,No,Yes,73.43949,18.63949,Yes,Yes,Yes,Completed,Yes,Yes,No,Yes,Completed,
SVPC-MH-0000035,MH-DEMO-00035,SV-01-01-0035,Maharashtra,Sindhudurg,Kankavli,Demo Village 05,Anjali Yadav,Priya Raut,Individual,61.5,Other Abadi Property,Digitisation Completed,2024-05-20,,Pending,,Processing,Processing,Processing,Digitised,"POLYGON((18.639650 73.439650,18.640350 73.439650,18.640350 73.440350,18.639650 73.440350,18.639650 73.439650))",Synthetic SVAMITVA Demo Dataset,2026-02-05,Synthetic - Not Government Verified,No,Completed,Available,Yes,No,,Not Applicable,,No,No,73.43965,18.63965,Yes,No,No,In Progress,No,No,Yes,No,Pending,2024-04-22
SVPC-MH-0000036,MH-DEMO-00036,SV-01-01-0036,Maharashtra,Sindhudurg,Kankavli,Demo Village 06,Mahesh More,Swati Mane,Individual,64.4,Residential Abadi,Prepared,2024-05-24,,Completed,2024-04-18,Received,Received,Received,Under Processing,"POLYGON((18.639610 73.439610,18.640390 73.439610,18.640390 73.440390,18.639610 73.440390,18.639610 73.439610))",Synthetic SVAMITVA Demo Dataset,2026-02-06,Synthetic - Not Government Verified,Yes,Completed,Pending,Yes,No,,Not Applicable,,Yes,Yes,73.43961,18.63961,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Yes,Completed,2024-04-25
SVPC-MH-0000037,MH-DEMO-00037,SV-01-01-0037,Maharashtra,Sindhudurg,Kankavli,Demo Village 07,Prakash Gawande,Arjun Jadhav,Individual,67.3,Mixed Residential,Distributed,2024-05-28,,Completed,2024-04-21,Received,Received,Received,Digitised,"POLYGON((18.639570 73.439570,18.640430 73.439570,18.640430 73.440430,18.639570 73.440430,18.639570 73.439570))",Synthetic SVAMITVA Demo Dataset,2026-02-07,Synthetic - Not Government Verified,Yes,Completed,Available,Yes,No,,Not Applicable,,Yes,Yes,73.43957,18.63957,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Yes,Completed,2024-04-28
SVPC-MH-0000038,MH-DEMO-00038,SV-01-01-0038,Maharashtra,Sindhudurg,Kankavli,Demo Village 08,Sanjay Raut,Prakash Dhole,Individual,70.2,Institutional,Under Verification,2024-06-01,,Completed,2024-04-24,Received,Received,Available,Digitised,"POLYGON((18.639530 73.439530,18.640470 73.439530,18.640470 73.440470,18.639530 73.440470,18.639530 73.439530))",Synthetic SVAMITVA Demo Dataset,2026-02-08,Synthetic - Not Government Verified,Yes,In Progress,Available,No,No,,Not Applicable,,No,Yes,73.43953,18.63953,Yes,Yes,Yes,Completed,Yes,Yes,No,Yes,Completed,
SVPC-MH-0000039,MH-DEMO-00039,SV-01-01-0039,Maharashtra,Sindhudurg,Kankavli,Demo Village 09,Swati Kadam,Suresh More,Individual,73.1,Commercial,Digitisation Completed,2024-06-05,,Pending,,Processing,Processing,Processing,Digitised,"POLYGON((18.639490 73.439490,18.640510 73.439490,18.640510 73.440510,18.639490 73.440510,18.639490 73.439490))",Synthetic SVAMITVA Demo Dataset,2026-02-09,Synthetic - Not Government Verified,No,Pending,Available,Yes,Yes,2024-05-09,No,,Yes,Yes,73.43949,18.63949,Yes,No,No,In Progress,No,No,Yes,Yes,Pending,
SVPC-MH-0000040,MH-DEMO-00040,SV-01-01-0040,Maharashtra,Sindhudurg,Kankavli,Demo Village 10,Aarav Ingale,Anjali Mhatre,Individual,76.0,Open Plot,Prepared,2024-06-09,,Completed,2024-04-30,Received,Received,Received,Digitised,"POLYGON((18.639650 73.439650,18.640350 73.439650,18.640350 73.440350,18.639650 73.440350,18.639650 73.439650))",Synthetic SVAMITVA Demo Dataset,2026-02-10,Synthetic - Not Government Verified,Yes,Completed,Available,Yes,No,,Not Applicable,,Yes,No,73.43965,18.63965,Yes,Yes,Yes,Completed,Yes,Yes,Yes,No,Completed,2024-05-07
SVPC-MH-0000041,MH-DEMO-00041,SV-01-01-0041,Maharashtra,Sindhudurg,Kankavli,Demo Village 01,Ashok Patil,Pooja Kulkarni,Individual,78.9,Other Abadi Property,Distributed,2024-06-13,,Completed,2024-05-03,Received,Received,Received,Digitised,"POLYGON((18.639610 73.439610,18.640390 73.439610,18.640390 73.440390,18.639610 73.440390,18.639610 73.439610))",Synthetic SVAMITVA Demo Dataset,2026-02-11,Synthetic - Not Government Verified,Yes,Completed,Available,Yes,No,,Not Applicable,,Yes,Yes,73.43961,18.63961,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Yes,Completed,2024-05-10
SVPC-MH-0000042,MH-DEMO-00042,SV-01-01-0042,Maharashtra,Sindhudurg,Kankavli,Demo Village 02,Meena Deshpande,Sunita Verma,Individual,81.8,Residential Abadi,Under Verification,2024-06-17,,Completed,2024-05-06,Received,Received,Available,Under Processing,"POLYGON((18.639570 73.439570,18.640430 73.439570,18.640430 73.440430,18.639570 73.440430,18.639570 73.439570))",Synthetic SVAMITVA Demo Dataset,2026-02-12,Synthetic - Not Government Verified,Yes,Completed,Pending,No,No,,Not Applicable,,No,Yes,73.43957,18.63957,Yes,Yes,Yes,Completed,Yes,Yes,No,Yes,Completed,2024-05-13
