ULPIN / Parcel ID,Survey Number / Gat Number,District,Taluka,Village,Owner / Rights-holder details,Land Area (hectares),Land Classification / Land Type,Tenure / Rights details,7/12 Record,8A Record,Mutation / Ferfar details,Mutation Date,Mutation Status,Cadastral Parcel Boundary / Geometry,Property Card,Record Source,Record Date / Last Updated,Verification Status,Owner Name,Owner / Rights-holder Type,Owner Share,Owner Relation,Owner Address
MH-DEMO-00015,101/15,Mumbai City,Demo Taluka 03,Demo Village 03,Name: Sachin Mane; Holder Type: Individual; Relation: S/O Synthetic Holder; Share: 100%; Address: Synthetic Address 01,1.0,Forest,Government Lease,DEMO-712-00015,DEMO-8A-00015,DEMO-FERFAR-00015,2025-05-31,Updated,"POLYGON((72.799000 18.946755,72.800245 18.948000,72.799000 18.949245,72.797755 18.948000,72.799000 18.946755))",DEMO-PC-00015,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2025-06-15,Synthetic - Not Government Verified,Sachin Mane,Individual,100%,S/O Synthetic Holder,Synthetic Address 01
MH-DEMO-00016,101/16,Mumbai City,Demo Taluka 04,Demo Village 04,Name: Suresh Tiwari; Holder Type: Individual; Relation: D/O Synthetic Holder; Share: 100%; Address: Synthetic Address 02,1.37,Industrial,Private Tenure,DEMO-712-00016,DEMO-8A-00016,DEMO-FERFAR-00016,2025-06-10,Pending,"POLYGON((72.850212 18.985659,72.851341 18.987212,72.849788 18.988341,72.848659 18.986788,72.850212 18.985659))",DEMO-PC-00016,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2025-06-26,Synthetic - Not Government Verified,Suresh Tiwari,Individual,100%,D/O Synthetic Holder,Synthetic Address 02
MH-DEMO-00017,101/17,Mumbai City,Demo Taluka 05,Demo Village 05,Name: Vivek Chavan; Holder Type: Individual; Relation: W/O Synthetic Holder; Share: 100%; Address: Synthetic Address 03,1.74,Water Body,Other/Restricted,DEMO-712-00017,DEMO-8A-00017,DEMO-FERFAR-00017,2025-06-20,Under Verification,"POLYGON((72.838454 18.961601,72.839399 18.963454,72.837546 18.964399,72.836601 18.962546,72.838454 18.961601))",DEMO-PC-00017,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2025-07-07,Synthetic - Not Government Verified,Vivek Chavan,Individual,100%,W/O Synthetic Holder,Synthetic Address 03
MH-DEMO-00018,101/18,Mumbai City,Demo Taluka 06,Demo Village 06,Name: Arjun Kamble; Holder Type: Individual; Relation: S/O Synthetic Holder; Share: 100%; Address: Synthetic Address 04,2.11,Wasteland,Occupancy Class I,DEMO-712-00018,DEMO-8A-00018,DEMO-FERFAR-00018,2025-06-30,No Recent Mutation,"POLYGON((72.826719 18.937589,72.827411 18.939719,72.825281 18.940411,72.824589 18.938281,72.826719 18.937589))",DEMO-PC-00018,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2025-07-18,Synthetic - Not Government Verified,Arjun Kamble,Individual,100%,S/O Synthetic Holder,Synthetic Address 04
MH-DEMO-00019,101/19,Mumbai City,Demo Taluka 01,Demo Village 07,Name: Manish Kharat; Holder Type: Individual; Relation: D/O Synthetic Holder; Share: 100%; Address: Synthetic Address 05,2.48,Mixed Use,Occupancy Class II,DEMO-712-00019,DEMO-8A-00019,DEMO-FERFAR-00019,2025-07-10,Updated,"POLYGON((72.814998 18.976627,72.815373 18.978998,72.813002 18.979373,72.812627 18.977002,72.814998 18.976627))",DEMO-PC-00019,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2025-07-29,Synthetic - Not Government Verified,Manish Kharat,Individual,100%,D/O Synthetic Holder,Synthetic Address 05
MH-DEMO-00020,101/20,Mumbai City,Demo Taluka 02,Demo Village 08,Name: Priya Kulkarni; Holder Type: Individual; Relation: W/O Synthetic Holder; Share: 100%; Address: Synthetic Address 01,2.85,Agricultural,Government Lease,DEMO-712-00020,DEMO-8A-00020,DEMO-FERFAR-00020,2025-07-20,Pending,"POLYGON((72.800720 18.952720,72.803280 18.952720,72.803280 18.955280,72.800720 18.955280,72.800720 18.952720))",DEMO-PC-00020,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2025-08-09,Synthetic - Not Government Verified,Priya Kulkarni,Individual,100%,W/O Synthetic Holder,Synthetic Address 01
MH-DEMO-00021,101/21,Mumbai City,Demo Taluka 03,Demo Village 09,Name: Seema Kale and Vijay Jadhav; Holder Type: Joint Holders; Relation: Joint Holders; Share: 50%-50%; Address: Synthetic Address 02,3.22,Residential,Private Tenure,DEMO-712-00021,DEMO-8A-00021,DEMO-FERFAR-00021,2025-07-30,Under Verification,"POLYGON((72.789335 18.929085,72.790915 18.929335,72.790665 18.930915,72.789085 18.930665,72.789335 18.929085))",DEMO-PC-00021,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2025-08-20,Synthetic - Not Government Verified,Seema Kale and Vijay Jadhav,Joint Holders,50%-50%,Joint Holders,Synthetic Address 02
MH-DEMO-00022,101/22,Mumbai City,Demo Taluka 04,Demo Village 10,Name: Tanmay Jadhav; Holder Type: Individual; Relation: D/O Synthetic Holder; Share: 100%; Address: Synthetic Address 03,3.59,Forest,Other/Restricted,DEMO-712-00022,DEMO-8A-00022,DEMO-FERFAR-00022,2025-08-09,No Recent Mutation,"POLYGON((72.840435 18.967891,72.842109 18.968435,72.841565 18.970109,72.839891 18.969565,72.840435 18.967891))",DEMO-PC-00022,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2025-08-31,Synthetic - Not Government Verified,Tanmay Jadhav,Individual,100%,D/O Synthetic Holder,Synthetic Address 03
MH-DEMO-00023,101/23,Mumbai City,Demo Taluka 05,Demo Village 11,Name: Aditi Thakur; Holder Type: Individual; Relation: W/O Synthetic Holder; Share: 100%; Address: Synthetic Address 04,3.96,Industrial,Occupancy Class I,DEMO-712-00023,DEMO-8A-00023,DEMO-FERFAR-00023,2025-08-19,Updated,"POLYGON((72.828580 18.943709,72.830291 18.944580,72.829420 18.946291,72.827709 18.945420,72.828580 18.943709))",DEMO-PC-00023,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2025-09-11,Synthetic - Not Government Verified,Aditi Thakur,Individual,100%,W/O Synthetic Holder,Synthetic Address 04
MH-DEMO-00024,101/24,Mumbai City,Demo Taluka 06,Demo Village 12,Name: Deepak Salve; Holder Type: Individual; Relation: S/O Synthetic Holder; Share: 100%; Address: Synthetic Address 05,4.33,Water Body,Occupancy Class II,DEMO-712-00024,DEMO-8A-00024,DEMO-FERFAR-00024,2025-08-29,Pending,"POLYGON((72.816770 18.982547,72.818453 18.983770,72.817230 18.985453,72.815547 18.984230,72.816770 18.982547))",DEMO-PC-00024,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2025-09-22,Synthetic - Not Government Verified,Deepak Salve,Individual,100%,S/O Synthetic Holder,Synthetic Address 05
MH-DEMO-00025,101/25,Mumbai City,Demo Taluka 01,Demo Village 01,Name: Mohan Gaikwad; Holder Type: Individual; Relation: D/O Synthetic Holder; Share: 100%; Address: Synthetic Address 01,4.7,Wasteland,Government Lease,DEMO-712-00025,DEMO-8A-00025,DEMO-FERFAR-00025,2025-09-08,Under Verification,"POLYGON((72.805000 18.958416,72.806584 18.960000,72.805000 18.961584,72.803416 18.960000,72.805000 18.958416))",DEMO-PC-00025,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2025-10-03,Synthetic - Not Government Verified,Mohan Gaikwad,Individual,100%,D/O Synthetic Holder,Synthetic Address 01
MH-DEMO-00026,101/26,Mumbai City,Demo Taluka 02,Demo Village 02,Name: Rajesh Sawant; Holder Type: Individual; Relation: W/O Synthetic Holder; Share: 100%; Address: Synthetic Address 02,0.27,Mixed Use,Private Tenure,DEMO-712-00026,DEMO-8A-00026,DEMO-FERFAR-00026,2025-09-18,No Recent Mutation,"POLYGON((72.793265 18.934324,72.794676 18.936265,72.792735 18.937676,72.791324 18.935735,72.793265 18.934324))",DEMO-PC-00026,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2025-10-14,Synthetic - Not Government Verified,Rajesh Sawant,Individual,100%,W/O Synthetic Holder,Synthetic Address 02
MH-DEMO-00027,101/27,Mumbai City,Demo Taluka 03,Demo Village 03,Name: Sneha Verma; Holder Type: Individual; Relation: S/O Synthetic Holder; Share: 100%; Address: Synthetic Address 03,0.64,Agricultural,Other/Restricted,DEMO-712-00027,DEMO-8A-00027,DEMO-FERFAR-00027,2025-09-28,Updated,"POLYGON((72.844559 18.973278,72.845722 18.975559,72.843441 18.976722,72.842278 18.974441,72.844559 18.973278))",DEMO-PC-00027,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2025-10-25,Synthetic - Not Government Verified,Sneha Verma,Individual,100%,S/O Synthetic Holder,Synthetic Address 03
MH-DEMO-00028,101/28,Mumbai City,Demo Taluka 04,Demo Village 04,Name: Vijay Bhosale and Ashok Patil; Holder Type: Joint Holders; Relation: Joint Holders; Share: 50%-50%; Address: Synthetic Address 04,1.01,Residential,Occupancy Class I,DEMO-712-00028,DEMO-8A-00028,DEMO-FERFAR-00028,2025-10-08,Pending,"POLYGON((72.832514 18.949992,72.833008 18.951514,72.831486 18.952008,72.830992 18.950486,72.832514 18.949992))",DEMO-PC-00028,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2025-11-05,Synthetic - Not Government Verified,Vijay Bhosale and Ashok Patil,Joint Holders,50%-50%,Joint Holders,Synthetic Address 04
MH-DEMO-00029,101/29,Mumbai City,Demo Taluka 05,Demo Village 05,Name: Amit Dhole; Holder Type: Individual; Relation: W/O Synthetic Holder; Share: 100%; Address: Synthetic Address 05,1.38,Forest,Occupancy Class II,DEMO-712-00029,DEMO-8A-00029,DEMO-FERFAR-00029,2025-10-18,Under Verification,"POLYGON((72.820732 18.988993,72.821007 18.990732,72.819268 18.991007,72.818993 18.989268,72.820732 18.988993))",DEMO-PC-00029,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2025-11-16,Synthetic - Not Government Verified,Amit Dhole,Individual,100%,W/O Synthetic Holder,Synthetic Address 05
MH-DEMO-00030,101/30,Mumbai City,Demo Taluka 06,Demo Village 06,Name: Gaurav Deshmukh; Holder Type: Individual; Relation: S/O Synthetic Holder; Share: 100%; Address: Synthetic Address 01,1.75,Industrial,Government Lease,DEMO-712-00030,DEMO-8A-00030,DEMO-FERFAR-00030,2025-10-28,No Recent Mutation,"POLYGON((72.807040 18.965040,72.808960 18.965040,72.808960 18.966960,72.807040 18.966960,72.807040 18.965040))",DEMO-PC-00030,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2025-11-27,Synthetic - Not Government Verified,Gaurav Deshmukh,Individual,100%,S/O Synthetic Holder,Synthetic Address 01
MH-DEMO-00031,101/31,Mumbai City,Demo Taluka 01,Demo Village 07,Name: Nikhil Joshi; Holder Type: Individual; Relation: D/O Synthetic Holder; Share: 100%; Address: Synthetic Address 02,2.12,Water Body,Private Tenure,DEMO-712-00031,DEMO-8A-00031,DEMO-FERFAR-00031,2025-11-07,Updated,"POLYGON((72.795135 18.940810,72.797190 18.941135,72.796865 18.943190,72.794810 18.942865,72.795135 18.940810))",DEMO-PC-00031,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2025-12-08,Synthetic - Not Government Verified,Nikhil Joshi,Individual,100%,D/O Synthetic Holder,Synthetic Address 02
MH-DEMO-00032,101/32,Mumbai City,Demo Taluka 02,Demo Village 08,Name: Rohit Borkar; Holder Type: Individual; Relation: W/O Synthetic Holder; Share: 100%; Address: Synthetic Address 03,2.49,Wasteland,Other/Restricted,DEMO-712-00032,DEMO-8A-00032,DEMO-FERFAR-00032,2025-11-17,Pending,"POLYGON((72.846281 18.979589,72.848411 18.980281,72.847719 18.982411,72.845589 18.981719,72.846281 18.979589))",DEMO-PC-00032,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2025-12-19,Synthetic - Not Government Verified,Rohit Borkar,Individual,100%,W/O Synthetic Holder,Synthetic Address 03
MH-DEMO-00033,101/33,Mumbai City,Demo Taluka 03,Demo Village 09,Name: Sunita Shinde; Holder Type: Individual; Relation: S/O Synthetic Holder; Share: 100%; Address: Synthetic Address 04,2.86,Mixed Use,Occupancy Class I,DEMO-712-00033,DEMO-8A-00033,DEMO-FERFAR-00033,2025-11-27,Under Verification,"POLYGON((72.834476 18.955386,72.836614 18.956476,72.835524 18.958614,72.833386 18.957524,72.834476 18.955386))",DEMO-PC-00033,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2025-12-30,Synthetic - Not Government Verified,Sunita Shinde,Individual,100%,S/O Synthetic Holder,Synthetic Address 04
MH-DEMO-00034,101/34,Mumbai City,Demo Taluka 04,Demo Village 10,Name: Vinod Wagh; Holder Type: Individual; Relation: D/O Synthetic Holder; Share: 100%; Address: Synthetic Address 05,3.23,Agricultural,Occupancy Class II,DEMO-712-00034,DEMO-8A-00034,DEMO-FERFAR-00034,2025-12-07,No Recent Mutation,"POLYGON((72.822717 18.931212,72.824788 18.932717,72.823283 18.934788,72.821212 18.933283,72.822717 18.931212))",DEMO-PC-00034,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2026-01-10,Synthetic - Not Government Verified,Vinod Wagh,Individual,100%,D/O Synthetic Holder,Synthetic Address 05
MH-DEMO-00035,101/35,Mumbai City,Demo Taluka 05,Demo Village 11,Name: Anjali Yadav and Pooja Deshmukh; Holder Type: Joint Holders; Relation: Joint Holders; Share: 50%-50%; Address: Synthetic Address 01,3.6,Residential,Government Lease,DEMO-712-00035,DEMO-8A-00035,DEMO-FERFAR-00035,2025-12-17,Updated,"POLYGON((72.811000 18.970869,72.812131 18.972000,72.811000 18.973131,72.809869 18.972000,72.811000 18.970869))",DEMO-PC-00035,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2026-01-21,Synthetic - Not Government Verified,Anjali Yadav and Pooja Deshmukh,Joint Holders,50%-50%,Joint Holders,Synthetic Address 01
MH-DEMO-00036,101/36,Mumbai City,Demo Taluka 06,Demo Village 12,Name: Mahesh More; Holder Type: Individual; Relation: S/O Synthetic Holder; Share: 100%; Address: Synthetic Address 02,3.97,Forest,Private Tenure,DEMO-712-00036,DEMO-8A-00036,DEMO-FERFAR-00036,2025-12-27,Pending,"POLYGON((72.799195 18.946771,72.800229 18.948195,72.798805 18.949229,72.797771 18.947805,72.799195 18.946771))",DEMO-PC-00036,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2026-02-01,Synthetic - Not Government Verified,Mahesh More,Individual,100%,S/O Synthetic Holder,Synthetic Address 02
MH-DEMO-00037,101/37,Mumbai City,Demo Taluka 01,Demo Village 01,Name: Prakash Gawande; Holder Type: Individual; Relation: D/O Synthetic Holder; Share: 100%; Address: Synthetic Address 03,4.34,Industrial,Other/Restricted,DEMO-712-00037,DEMO-8A-00037,DEMO-FERFAR-00037,2026-01-06,Under Verification,"POLYGON((72.850420 18.985709,72.851291 18.987420,72.849580 18.988291,72.848709 18.986580,72.850420 18.985709))",DEMO-PC-00037,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2026-02-12,Synthetic - Not Government Verified,Prakash Gawande,Individual,100%,D/O Synthetic Holder,Synthetic Address 03
MH-DEMO-00038,101/38,Mumbai City,Demo Taluka 02,Demo Village 02,Name: Sanjay Raut; Holder Type: Individual; Relation: W/O Synthetic Holder; Share: 100%; Address: Synthetic Address 04,4.71,Water Body,Occupancy Class I,DEMO-712-00038,DEMO-8A-00038,DEMO-FERFAR-00038,2026-01-16,No Recent Mutation,"POLYGON((72.838668 18.961690,72.839310 18.963668,72.837332 18.964310,72.836690 18.962332,72.838668 18.961690))",DEMO-PC-00038,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2026-02-23,Synthetic - Not Government Verified,Sanjay Raut,Individual,100%,W/O Synthetic Holder,Synthetic Address 04
MH-DEMO-00039,101/39,Mumbai City,Demo Taluka 03,Demo Village 03,Name: Swati Kadam; Holder Type: Individual; Relation: S/O Synthetic Holder; Share: 100%; Address: Synthetic Address 05,0.28,Wasteland,Occupancy Class II,DEMO-712-00039,DEMO-8A-00039,DEMO-FERFAR-00039,2026-01-26,Updated,"POLYGON((72.826931 18.937719,72.827281 18.939931,72.825069 18.940281,72.824719 18.938069,72.826931 18.937719))",DEMO-PC-00039,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2026-03-06,Synthetic - Not Government Verified,Swati Kadam,Individual,100%,S/O Synthetic Holder,Synthetic Address 05
MH-DEMO-00040,101/40,Mumbai City,Demo Taluka 04,Demo Village 04,Name: Aarav Ingale; Holder Type: Individual; Relation: D/O Synthetic Holder; Share: 100%; Address: Synthetic Address 01,0.65,Mixed Use,Government Lease,DEMO-712-00040,DEMO-8A-00040,DEMO-FERFAR-00040,2026-02-05,Pending,"POLYGON((72.812800 18.976800,72.815200 18.976800,72.815200 18.979200,72.812800 18.979200,72.812800 18.976800))",DEMO-PC-00040,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2026-03-17,Synthetic - Not Government Verified,Aarav Ingale,Individual,100%,D/O Synthetic Holder,Synthetic Address 01
MH-DEMO-00041,101/41,Mumbai City,Demo Taluka 05,Demo Village 05,Name: Ashok Patil; Holder Type: Individual; Relation: W/O Synthetic Holder; Share: 100%; Address: Synthetic Address 02,1.02,Agricultural,Private Tenure,DEMO-712-00041,DEMO-8A-00041,DEMO-FERFAR-00041,2026-02-15,Under Verification,"POLYGON((72.800936 18.952536,72.803464 18.952936,72.803064 18.955464,72.800536 18.955064,72.800936 18.952536))",DEMO-PC-00041,Synthetic Demo Dataset; structure referenced to Maharashtra Mahabhumi services,2026-03-28,Synthetic - Not Government Verified,Ashok Patil,Individual,100%,W/O Synthetic Holder,Synthetic Address 02
